Well_ID,Point_ID,x_long,y_lat,County,MeasurementMonth,MeasurementDay,MeasurementYear,MeasurementDate,WaterElevation,Max_NS,SaturatedThickness
233201,17,-102.919722,36.480833,Dallam,3,23,2006,3/23/06,4415.56,4290,125.5600000000004
233401,40,-102.988056,36.453334,Dallam,12,12,1996,12/12/96,4491.05,4370,121.05000000000018
233401,40,-102.988056,36.453334,Dallam,12,9,1997,12/9/97,4495.22,4370,125.22000000000025
233401,40,-102.988056,36.453334,Dallam,12,11,1998,12/11/98,4493.82,4370,123.81999999999971
233401,40,-102.988056,36.453334,Dallam,12,7,1999,12/7/99,4492.82,4370,122.81999999999971
233401,40,-102.988056,36.453334,Dallam,5,16,2000,5/16/00,4487.9,4370,117.89999999999964
233401,40,-102.988056,36.453334,Dallam,12,11,2001,12/11/01,4479.36,4370,109.35999999999967
233401,40,-102.988056,36.453334,Dallam,12,13,2002,12/13/02,4474.2,4370,104.19999999999982
233401,40,-102.988056,36.453334,Dallam,12,10,2003,12/10/03,4470.3,4370,100.30000000000018
233401,40,-102.988056,36.453334,Dallam,12,11,2004,12/11/04,4460.2,4370,90.19999999999982
233501,137,-102.933889,36.432778,Dallam,12,7,1995,12/7/95,4442.3,4180,262.3000000000002
233501,137,-102.933889,36.432778,Dallam,12,12,1996,12/12/96,4441.35,4180,261.35000000000036
233501,137,-102.933889,36.432778,Dallam,12,9,1997,12/9/97,4441.25,4180,261.25
233501,137,-102.933889,36.432778,Dallam,12,12,1998,12/12/98,4438.35,4180,258.35000000000036
233501,137,-102.933889,36.432778,Dallam,12,8,1999,12/8/99,4436.51,4180,256.5100000000002
233501,137,-102.933889,36.432778,Dallam,12,6,2000,12/6/00,4431.95,4180,251.94999999999982
233501,137,-102.933889,36.432778,Dallam,3,23,2005,3/23/05,4422.59,4180,242.59000000000015
233501,137,-102.933889,36.432778,Dallam,3,23,2006,3/23/06,4422.59,4180,242.59000000000015
233501,137,-102.933889,36.432778,Dallam,2,14,2008,2/14/08,4406.72,4180,226.72000000000025
233501,137,-102.933889,36.432778,Dallam,2,12,2009,2/12/09,4398.94,4180,218.9399999999996
233501,137,-102.933889,36.432778,Dallam,2,19,2015,2/19/15,4338.59,4180,158.59000000000015
233604,84,-102.890834,36.439722,Dallam,3,9,2010,3/9/10,4386,4130,256.0
233604,84,-102.890834,36.439722,Dallam,12,2,2010,12/2/10,4379.41,4130,249.40999999999985
233604,84,-102.890834,36.439722,Dallam,1,9,2012,1/9/12,4377.34,4130,247.34000000000015
233604,84,-102.890834,36.439722,Dallam,1,3,2013,1/3/13,4378.4,4130,248.39999999999964
233604,84,-102.890834,36.439722,Dallam,1,20,2015,1/20/15,4367.65,4130,237.64999999999964
233604,84,-102.890834,36.439722,Dallam,1,20,2016,1/20/16,4372.91,4130,242.90999999999985
233701,297,-102.962501,36.393889,Dallam,12,8,1995,12/8/95,4457.55,4240,217.55000000000018
233701,297,-102.962501,36.393889,Dallam,12,12,1996,12/12/96,4462.2,4240,222.19999999999982
233701,297,-102.962501,36.393889,Dallam,12,9,1997,12/9/97,4460.97,4240,220.97000000000025
233701,297,-102.962501,36.393889,Dallam,12,12,1998,12/12/98,4458.88,4240,218.8800000000001
233701,297,-102.962501,36.393889,Dallam,12,8,1999,12/8/99,4458.5,4240,218.5
233701,297,-102.962501,36.393889,Dallam,12,6,2000,12/6/00,4457.9,4240,217.89999999999964
233701,297,-102.962501,36.393889,Dallam,12,11,2001,12/11/01,4456.6,4240,216.60000000000036
233701,297,-102.962501,36.393889,Dallam,12,12,2002,12/12/02,4455.35,4240,215.35000000000036
233701,297,-102.962501,36.393889,Dallam,12,9,2003,12/9/03,4449.9,4240,209.89999999999964
233701,297,-102.962501,36.393889,Dallam,12,11,2004,12/11/04,4451.5,4240,211.5
233701,297,-102.962501,36.393889,Dallam,11,3,2005,11/3/05,4449.32,4240,209.3199999999997
233701,297,-102.962501,36.393889,Dallam,12,1,2006,12/1/06,4448.2,4240,208.19999999999982
233701,297,-102.962501,36.393889,Dallam,12,6,2007,12/6/07,4444.82,4240,204.8199999999997
233701,297,-102.962501,36.393889,Dallam,12,10,2008,12/10/08,4441.2,4240,201.19999999999982
233701,297,-102.962501,36.393889,Dallam,11,3,2009,11/3/09,4440.62,4240,200.6199999999999
233701,297,-102.962501,36.393889,Dallam,12,14,2010,12/14/10,4437.58,4240,197.57999999999993
233701,297,-102.962501,36.393889,Dallam,12,6,2011,12/6/11,4417.55,4240,177.55000000000018
233701,297,-102.962501,36.393889,Dallam,12,6,2012,12/6/12,4430.12,4240,190.1199999999999
233702,295,-102.988889,36.384445,Dallam,11,5,2002,11/5/02,4470,4310,160.0
233702,295,-102.988889,36.384445,Dallam,4,29,2009,4/29/09,4459,4310,149.0
233902,299,-102.910278,36.398056,Dallam,12,8,1995,12/8/95,4334,4050,284.0
233902,299,-102.910278,36.398056,Dallam,12,12,1996,12/12/96,4325.9,4050,275.89999999999964
233902,299,-102.910278,36.398056,Dallam,12,9,1997,12/9/97,4326.4,4050,276.39999999999964
233902,299,-102.910278,36.398056,Dallam,12,12,1998,12/12/98,4320.5,4050,270.5
233902,299,-102.910278,36.398056,Dallam,12,8,1999,12/8/99,4311.42,4050,261.4200000000001
233902,299,-102.910278,36.398056,Dallam,12,11,2001,12/11/01,4311.42,4050,261.4200000000001
233902,299,-102.910278,36.398056,Dallam,12,12,2002,12/12/02,4315.95,4050,265.9499999999998
233902,299,-102.910278,36.398056,Dallam,12,9,2003,12/9/03,4307.4,4050,257.39999999999964
233902,299,-102.910278,36.398056,Dallam,12,11,2004,12/11/04,4309,4050,259.0
233902,299,-102.910278,36.398056,Dallam,3,23,2005,3/23/05,4313.22,4050,263.22000000000025
233902,299,-102.910278,36.398056,Dallam,3,1,2007,3/1/07,4314.38,4050,264.3800000000001
233902,299,-102.910278,36.398056,Dallam,2,4,2008,2/4/08,4315.94,4050,265.9399999999996
233902,299,-102.910278,36.398056,Dallam,2,12,2009,2/12/09,4315.05,4050,265.0500000000002
233902,299,-102.910278,36.398056,Dallam,3,4,2010,3/4/10,4302.91,4050,252.90999999999985
233902,299,-102.910278,36.398056,Dallam,2,23,2011,2/23/11,4309.5,4050,259.5
233902,299,-102.910278,36.398056,Dallam,1,13,2012,1/13/12,4310.78,4050,260.77999999999975
233902,299,-102.910278,36.398056,Dallam,2,19,2015,2/19/15,4277.21,4050,227.21000000000004
233905,300,-102.878333,36.386667,Dallam,12,7,1995,12/7/95,4293.95,4040,253.94999999999982
233905,300,-102.878333,36.386667,Dallam,12,11,1996,12/11/96,4286.97,4040,246.97000000000025
233905,300,-102.878333,36.386667,Dallam,12,10,1997,12/10/97,4277.23,4040,237.22999999999956
233914,211,-102.890834,36.415834,Dallam,12,7,1995,12/7/95,4352.5,4100,252.5
233914,211,-102.890834,36.415834,Dallam,12,12,1996,12/12/96,4351.8,4100,251.80000000000018
233914,211,-102.890834,36.415834,Dallam,12,9,1997,12/9/97,4350.72,4100,250.72000000000025
233914,211,-102.890834,36.415834,Dallam,12,12,1998,12/12/98,4344.61,4100,244.60999999999967
233914,211,-102.890834,36.415834,Dallam,12,8,1999,12/8/99,4343.71,4100,243.71000000000004
233914,211,-102.890834,36.415834,Dallam,12,12,2001,12/12/01,4337.9,4100,237.89999999999964
233914,211,-102.890834,36.415834,Dallam,12,12,2002,12/12/02,4342.15,4100,242.14999999999964
233914,211,-102.890834,36.415834,Dallam,12,9,2003,12/9/03,4339.2,4100,239.19999999999982
233914,211,-102.890834,36.415834,Dallam,12,11,2004,12/11/04,4335.3,4100,235.30000000000018
233914,211,-102.890834,36.415834,Dallam,3,23,2005,3/23/05,4333.08,4100,233.07999999999993
233914,211,-102.890834,36.415834,Dallam,3,1,2007,3/1/07,4335.98,4100,235.97999999999956
233914,211,-102.890834,36.415834,Dallam,2,7,2008,2/7/08,4339.16,4100,239.15999999999985
233914,211,-102.890834,36.415834,Dallam,2,12,2009,2/12/09,4335.9,4100,235.89999999999964
234712,302,-102.841945,36.386945,Dallam,5,19,2004,5/19/04,4258.54,3980,278.53999999999996
235404,90,-102.739445,36.446667,Dallam,12,2,2010,12/2/10,4179.77,4100,79.77000000000044
235404,90,-102.739445,36.446667,Dallam,1,9,2012,1/9/12,4157.44,4100,57.4399999999996
235404,90,-102.739445,36.446667,Dallam,1,3,2013,1/3/13,4108.7,4100,8.699999999999818
235404,90,-102.739445,36.446667,Dallam,1,3,2014,1/3/14,4109.09,4100,9.090000000000146
235404,90,-102.739445,36.446667,Dallam,1,20,2015,1/20/15,4111.33,4100,11.329999999999927
235404,90,-102.739445,36.446667,Dallam,1,20,2016,1/20/16,4138.7,4100,38.69999999999982
235803,420,-102.700001,36.388889,Dallam,12,2,2010,12/2/10,4095.09,3980,115.09000000000015
